assets_concerned,asset_type,voltage_kv_raw,daily_restoring_raw,reason,source_file,start_datetime,stop_datetime,voltage_kv,daily_restoring,duration_hours
S/E Villavalle - stl 215 Roma N.,STL,220 kV,S,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,220.0,False,96.0
SE Brindisi Pignicelle-Compensatore ICS1,SYN,20 kV,N,Altre di manutenzioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-22,20.0,False,48.0
SE Brindisi Pignicelle-Compensatore ICS1,SYN,20 kV,N,Altre di manutenzioni,20260424-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,20.0,False,96.0
SE CARNIA - Sbarra A 60 kV,SBA,70 kV,S,Rinnovo Stallo,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-22,70.0,False,48.0
SE Chiusi RT-stl 091 Allerona cd Ficulle,STL,132 kV,S,Riparazione Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-20,132.0,False,0.0
SE Follonica RT - stl 576 Suvereto,STL,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
SE Rifredi RT - stl 443 CP Sodo,STL,132 kV,N,Sostituzione Apparecchiature AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
SE Scafati -stl 522 CP Scafati,STL,150 kV,S,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-23,150.0,False,72.0
SE Suvereto - stl 576 Follonica RT,STL,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
SSE Orvieto LL RT - stl F05 Bassano RT,STL,132 kV,S,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-23,132.0,False,72.0
S\E Populonia - stl.PB1 Seca,STL,132 kV,N,Costruzione nuovo stallo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-05-08,132.0,False,432.0
Sez. sbarra (1)B1 132 kV  in CP TOLMEZZO,SBA,132 kV,N,Interferenza Lavori,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-22,132.0,False,48.0
Stallo 132 kV 053 LEVANTO in CP VIZZA,STL,132 kV,N,Controlli di legge,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
Stallo 132 kV 098 GE Centro in CP Canevari,STL,132 kV,N,Sostituzione Protezioni,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
Stallo 132 kV 162 CS PAVIA in CP PAVIA TORRETTA,STL,132 kV,S,Controlli di legge,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
Stallo 132 kV 437:VSOM#SOMPLAGO in CP TOLMEZZO,STL,132 kV,N,Interferenza Lavori,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-22,132.0,False,48.0
Stallo 132 kV 527 Cossato in CP Vallemosso,STL,132 kV,N,Controlli di legge,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
Stallo 132 kV 527 Vallemosso in CP Cossato,STL,132 kV,N,Controlli di legge,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
Stallo 132 kV 7062:VOVR#AMPEZ-OVARO in CP TOLMEZZO,STL,132 kV,N,Interferenza Lavori,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-22,132.0,False,48.0
Stallo 150 kV CP Zona Industriale Catania in SM ST MICROELCTRONICS,STL,150 kV,N,Altre di Manutenzione,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,150.0,False,96.0
Stallo 150 kV SM M6 in SM ST MICROELCTRONICS,STL,150 kV,N,Altre di Manutenzione,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,150.0,False,96.0
Tronco C.le S.Martino - Allac. (P.59),STL,132 kV,N,Altri investimenti,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-23,132.0,False,72.0
V.Literno RT-stl204 Carinola-Astroni (R),STL,70 kV,S,Controlli Protezioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-21,70.0,False,24.0
VALMARTINAGA SB. A 132 kV,SBA,132 kV,N,Sostituzione Protezioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-06-30,132.0,False,1704.0
VALMARTINAGA STALLO CONGIUNTORE,STK,132 kV,N,Sostituzione Protezioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-06-30,132.0,False,1704.0
VALMARTINAGA STALLO VALMARTINAGA 1,STL,132 kV,N,Sostituzione Protezioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-06-30,132.0,False,1704.0
VALMARTINAGA STALLO VALMARTINAGA 2,STL,132 kV,N,Sostituzione Protezioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-06-30,132.0,False,1704.0
VILLA S.MARIA Stl C/P VILLA S.MARIA 150 kV,STL,150 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,150.0,False,96.0
VILLA S.MARIA Stl CS.GI-AGNON 150 kV,STL,150 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,150.0,False,96.0
VILLA S.MARIA Stl MONTEFERRANTE 150 kV,STL,150 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,150.0,False,96.0
VRETI_PA2_L820_ST - Pace 2 : stallo L_820,STL,132 kV,N,Revisione Apparecchiatura AT,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
VRETI_PA2_L833_ST - Pace 2 : stallo L_833,STL,132 kV,N,Revisione Apparecchiatura AT,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
VRETI_PA2_SB132 - Pace 2 : Sbarra 132kV,SBA,132 kV,N,Revisione Apparecchiatura AT,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
rosara stl civitella,STL,132 kV,N,Altre di rinnovo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-20,2026-04-24,132.0,False,96.0
A. ARDEATINO - SEMISBARRA VERDE,SBA,150 kV,S,Altre di Manutenzione,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,150.0,False,24.0
ACEA COLLATI Stl SMIST. EST 2,STL,150 kV,N,Altre di Manutenzione,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
CARMIGNANO - Sbarra A 132 kV,SBA,132 kV,N,Interferenza Lavori,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
COV_ST_521,STL,132 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
CP BATTIFERRO - STALLO AT MRT 737,STL,132 kV,S,Controlli di legge,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
CP CASALGRANDE - STALLO AT CAS 136,STL,132 kV,S,Controlli di legge,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
CP PONSACCO - STALLO AT 568 TERRICCIOLA,STL,132 kV,N,Altre di manutenzioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,132.0,False,48.0
CP PORTOMAGGIORE - STALLO AT COP 140,STL,132 kV,N,Revisione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
CP TORRENIERI - SBARRA AT RO LATO 494,SBA,132 kV,N,Altre di manutenzioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
CP TORRENIERI - SBARRA AT RO LATO 494,SBA,132 kV,N,Altre di manutenzioni,20260424-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-27,132.0,False,144.0
CP TORRENIERI - STALLO AT 494 CHN-ABB,STL,132 kV,N,Altre di manutenzioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
CP TORRENIERI - STALLO AT 494 CHN-ABB,STL,132 kV,N,Altre di manutenzioni,20260424-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-27,132.0,False,144.0
Calenzano-stl 825 CP Suviana - Vaiano RT,STL,132 kV,S,Controlli Protezioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
EDOLO ST STL S.FIORANO 400KV,STL,400 kV,N,Controlli Tecnici Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,400.0,False,48.0
L 616 Pian Camuno - cp Sarezzo,LIN,132 kV,N,Altre di Rinnovo,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
L. 267 Vellai - Cittad. cd Cavil. VI MV,LIN,220 kV,S,Altre di Manutenzione,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,220.0,False,0.0
L. 760 Trento Sud-Trento P.Te S.Giorgio,LIN,132 kV,S,Controlli Tecnici Apparecchiatura AT,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
L.494 Torrenieri-Chianciano cd Abbadi SS,LIN,132 kV,N,Sostituzione FdG,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
L.494 Torrenieri-Chianciano cd Abbadi SS,LIN,132 kV,N,Sostituzione FdG,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-27,132.0,False,144.0
L.G27 Novi S.Bovo RT-Arquata Scrivia RT,LIN,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
L233 Glorenza-Castelbello cd P.2/A,LIN,220 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,220.0,False,48.0
LG001380468T081 - CP VANDOIES SE VANDOIES - T081,LIN,132 kV,N,Interferenza Linea,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
LG001380468T129 - CP VANDOIES SE VANDOIES - T129,LIN,132 kV,N,Interferenza Linea,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
LINEA 132 kV CAPODIPONTE - VENAMARTELLO CP,LIN,132 kV,N,Sostituzione Armamenti,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-27,132.0,False,144.0
LINEA 132 kV CAPODIPONTE - VENAMARTELLO CP,LIN,132 kV,N,Sostituzione Armamenti,20260424-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
LINEA 132KV N.140 COPPARO-TRESIGALLO-PORTOMAGGIORE,LIN,132 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
LINEA 132KV N.737 S/E MARTIGNONE-BATTIFERRO 1,LIN,132 kV,S,Interferenza Linea,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
LINEA 136 Piazza Armerina - Valguarnera,LIN,150 kV,S,Interferenza Linea,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,150.0,False,24.0
LINEA 553 VAIANO VALLE - VIGENTINA 132 KV,LIN,132 kV,S,Taglio Piante,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
LINEA 553 VAIANO VALLE - VIGENTINA 132 KV,LIN,132 kV,S,Taglio Piante,20260424-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
LINEA MODUGNO CENTRALE - PALO DEL COLLE,LIN,400 kV,N,Controlli Cavo,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-30,400.0,False,216.0
LINEA MODUGNO CENTRALE - PALO DEL COLLE,LIN,400 kV,N,Controlli Cavo,20260508-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-05-17,400.0,False,624.0
LINEA MODUGNO CENTRALE - PALO DEL COLLE,LIN,400 kV,N,Controlli Cavo,20260522-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-05-28,400.0,False,888.0
LINEA MODUGNO CENTRALE - PALO DEL COLLE,LIN,400 kV,N,Controlli Cavo,20260529-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-05-30,400.0,False,936.0
LINEA MODUGNO CENTRALE - PALO DEL COLLE,LIN,400 kV,N,Controlli Cavo,20260605-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-06-09,400.0,False,1176.0
Lin 975 SE Premadio-CP Livigno (1) 66 kV,LIN,70 kV,N,Altre di sviluppo,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,70.0,False,24.0
Lin M25 Lodi RT - Casalpusterlengo RT,LIN,132 kV,N,Altre di Manutenzione,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,132.0,False,48.0
Lin. 510 trc CP Cretaz-P.58 nodo Verres,TRC,132 kV,N,Altre di sviluppo,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-28,132.0,False,168.0
Lin126 S/E Flero - S/E Brescia Ric. Sud,LIN,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
Linea 004 C.le Barbiano - C.le Premesa,LIN,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
Linea 018 Menga - Follonica,LIN,132 kV,N,Sostituzione Apparecchiatura AT,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
Linea 030 Astroni - Fuorigrotta B. 60 kV,LIN,70 kV,S,Interferenza Lavori,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,70.0,False,0.0
Linea 031 Astroni - Fuorigrotta V. 60 kV,LIN,70 kV,S,Interferenza Lavori,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,70.0,False,0.0
Linea 032 Astroni - Fuorigrotta R. 60 kV,LIN,70 kV,S,Interferenza Lavori,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,70.0,False,0.0
Linea 037F SE Cascina RT - SE Larderello,LIN,132 kV,N,Rinnovo Linea (piu componenti),20260313-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,132.0,False,48.0
Linea 114 Capaccio - Eboli 2,LIN,150 kV,S,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
Linea 126 SE Portella Pero - Caltavuturo,LIN,150 kV,S,Sostituzione FdG,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,150.0,False,24.0
Linea 127 cp Marcheno-cp Sarezzo,LIN,132 kV,N,Altre di Rinnovo,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
Linea 132 kV - FORCE - CARASSAI,LIN,132 kV,N,Sostituzione morsetteria,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-28,132.0,False,168.0
Linea 136 Castellarano - Casalgrande,LIN,132 kV,S,Interferenza Linea,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
Linea 238 Salerno -Tusciano Bianca cd Merc.e Sal.Ind.,LIN,70 kV,S,Riparazione Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,70.0,False,0.0
Linea 240 Moncalieri - Sangone,LIN,220 kV,N,Riparazione conduttore,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,220.0,False,24.0
Linea 285 Stura - Rondissone,LIN,220 kV,S,Altre di Manutenzione,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,220.0,False,48.0
Linea 332 Tuscania - Villavalle,LIN,400 kV,N,Altre di Manutenzione,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,400.0,False,72.0
Linea 379 Edolo - San Fiorano,LIN,400 kV,N,Controlli di legge,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,400.0,False,48.0
Linea 400 kV WESTTIROL-NAUDERS 428 (Inn Nord),LIN,400 kV,S,Richiesto da Swissgrid,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,400.0,False,24.0
Linea 458 Arona - Borgoticino,LIN,132 kV,N,Taglio Piante,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
Linea 483 CP Valguarnera - CP Dittaino,LIN,150 kV,S,Interferenza Linea,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,150.0,False,24.0
Linea 510 Cretaz - Verres  der IGI,LIN,132 kV,S,Altri investimenti,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
Linea 520 Covalou - Pont St. Martin CP  der VERT,LIN,132 kV,S,Altri investimenti,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
Linea 520 Covalou - Pont St. Martin CP  der VERT,LIN,132 kV,N,Altri investimenti,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-26,132.0,False,120.0
Linea 527 Vallemosso - Cossato,LIN,132 kV,N,Controlli di legge,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
Linea 568 Ponsacco - Terricciola,LIN,132 kV,N,Interferenza Linea,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,132.0,False,48.0
Linea 569 Benevento II - Benevento N. (2) 150 kV,LIN,150 kV,S,Interferenza Linea,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
Linea 583 Scorzè  - Istrana CP,LIN,132 kV,S,Controlli di legge,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
Linea 687 Ulassai - Lanusei,LIN,150 kV,S,Riparazione morsetteria,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
Linea 757 Fano E.T.-Fano Centinarola CP,LIN,132 kV,S,Interferenza Linea,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
Linea F28 Aurelia RT - Ottavia RT,LIN,132 kV,N,Altre di Manutenzione,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
PORTO TOLLE BESS 1,UPU,132 kV,S,Altro,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
PROVE CESI - Schema 3,SEZ,220 kV,N,Prove CESI,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,220.0,False,24.0
Pianezza - Sbarra A 220 KV,SBA,220 kV,S,Controlli Tecnici Linea,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,220.0,False,0.0
S/E Benevento 3 - Sbarra A 380 KV,SBA,400 kV,S,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,400.0,False,0.0
S/E Benevento 3 - Sbarra B 380 KV,SBA,400 kV,S,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,400.0,False,0.0
S/E Bovisio - Condensatore 2 132 kV,RIF,132 kV,N,Guasto,20260424-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-30,132.0,False,216.0
S/E Brescia Ric. Sud - stl 126 S/E Flero,STL,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
S/E Bulciago - Sbarra B1 132 kV,SBA,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
S/E CARPI SUD-STL 633 RUBIERA NORD,STL,132 kV,S,Controlli Protezioni,20260313-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
S/E COLUNGA - STALLO 132KV N.809 PONTE RIZZOLI,STL,132 kV,N,Sostituzione Protezione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,132.0,False,24.0
S/E Castelpagano - stl Cupone,STL,150 kV,S,Altre di manutenzioni,20260327-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
S/E Cavoti - Stl C.le Franzese,STL,150 kV,S,Controlli Protezioni,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
S/E Ceprano - Sbarra B1 150 KV,SBA,150 kV,S,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
S/E Cordignano - Condensatori 1 - 132 kV,RIF,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260327-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,132.0,False,72.0
S/E Deliceto - ATR 3 380/150 KV,ATR,150 kV,S,Controlli Tecnici Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
S/E Deliceto - Sbarra B1 150 KV,SBA,150 kV,S,Altre di manutenzioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,150.0,False,24.0
S/E Deliceto - stl 098 Ascoli Satriano,STL,150 kV,S,Altre di manutenzioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
S/E Gadio - stl 231 Marcello,STL,220 kV,S,Controlli di legge,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,220.0,False,0.0
S/E Garigliano - Sbarra A 150 KV,SBA,150 kV,S,Revisione Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
S/E Garigliano - stl 063 Sessa Aurunca,STL,150 kV,S,Controlli Tecnici Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,150.0,False,72.0
S/E Glorenza stl.233 Castelbello cd Lasa,STL,220 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-23,220.0,False,48.0
S/E Larino - Sbarra B 380 KV,SBA,400 kV,S,Sostituzione Apparecchiature AT,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,400.0,False,0.0
S/E Maida - Sbarra A 150 KV,SBA,150 kV,S,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,150.0,False,0.0
S/E Marghera St.1-stl M01 Marghera St.3,STL,220 kV,S,Controlli Protezioni,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,220.0,False,0.0
S/E Marghera St.1-stl M03 Marghera St.4,STL,220 kV,N,Controlli Protezioni,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-22,220.0,False,24.0
S/E Padriciano - Sbarra B 130 kV,SBA,132 kV,S,Controlli Tecnici Apparecchiatura AT,20260410-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,132.0,False,0.0
S/E Partinico - Sbarra B 220 kV,SBA,220 kV,S,Controlli Tecnici Apparecchiatura AT,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,220.0,False,0.0
S/E Partinico - stl 251 Ciminna 2,STL,220 kV,S,Controlli Tecnici Apparecchiatura AT,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-24,220.0,False,72.0
S/E Planais - Reattore 400 kV - 258 MVAR,RIF,400 kV,S,Controlli di legge,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2026-04-21,2026-04-21,400.0,False,0.0
